micro_market,zip_code,property_type,price_bucket,sqft_bucket,beds,baths,n_listings,median_dom_days,p75_dom_days,pct_fast_seller,observed_ratio
27407|single_family|na|2000-2500|3|2,27407,single_family,na,2000-2500,3,2,7,40.0,54.0,28.6,0.0
27105|land|na|na|na|na,27105,land,na,na,na,na,22,40.5,65.5,50.0,0.0
27103|single_family|na|2000-2500|3|2,27103,single_family,na,2000-2500,3,2,35,41.0,57.5,45.7,0.0
27106|single_family|na|1500-2000|3|1,27106,single_family,na,1500-2000,3,1,9,41.0,54.0,44.4,0.0
27101|single_family|na|1500-2000|3|1,27101,single_family,na,1500-2000,3,1,7,41.0,60.5,42.9,0.0
27103|single_family|na|1000-1500|4|2,27103,single_family,na,1000-1500,4,2,13,41.0,60.0,38.5,0.0
27104|single_family|na|2500-3000|3|3,27104,single_family,na,2500-3000,3,3,12,41.5,84.25,50.0,0.0
27106|single_family|na|2000-2500|3|3,27106,single_family,na,2000-2500,3,3,22,41.5,52.25,45.5,0.0
27260|single_family|na|1000-1500|3|1,27260,single_family,na,1000-1500,3,1,36,41.5,62.75,41.7,0.0
27107|mobile|na|1500-2000|3|2,27107,mobile,na,1500-2000,3,2,7,42.0,68.0,42.9,0.0
27410|single_family|na|3000-3500|4|3,27410,single_family,na,3000-3500,4,3,10,42.0,66.25,40.0,0.0
27409|townhome|na|1000-1500|2|2,27409,townhome,na,1000-1500,2,2,23,42.0,64.5,34.8,0.0
27103|single_family|na|500-1000|2|1,27103,single_family,na,500-1000,2,1,34,42.5,54.0,38.2,0.0
27101|land|na|na|na|na,27101,land,na,na,na,na,9,43.0,88.0,33.3,0.0
27410|single_family|na|1500-2000|4|2,27410,single_family,na,1500-2000,4,2,10,43.5,54.25,50.0,0.0
27103|single_family|na|1000-1500|2|2,27103,single_family,na,1000-1500,2,2,46,43.5,67.75,47.8,0.0
27265|single_family|na|2500-3000|3|2,27265,single_family,na,2500-3000,3,2,6,43.5,50.0,16.7,0.0
27401|single_family|na|1500-2000|4|2,27401,single_family,na,1500-2000,4,2,9,44.0,84.0,55.6,0.0
27101|single_family|na|1500-2000|2|2,27101,single_family,na,1500-2000,2,2,9,44.0,61.0,44.4,0.0
27410|townhome|na|1000-1500|3|2,27410,townhome,na,1000-1500,3,2,13,44.0,75.0,38.5,0.0
27455|single_family|na|2500-3000|4|2,27455,single_family,na,2500-3000,4,2,11,44.0,63.0,27.3,0.0
27409|townhome|na|1500-2000|3|2,27409,townhome,na,1500-2000,3,2,22,44.5,62.5,31.8,0.0
27455|townhome|na|1500-2000|3|2,27455,townhome,na,1500-2000,3,2,16,44.5,59.75,31.2,0.0
27405|single_family|na|1500-2000|3|2,27405,single_family,na,1500-2000,3,2,27,45.0,88.0,51.9,0.0
27105|single_family|na|500-1000|3|1,27105,single_family,na,500-1000,3,1,25,45.0,74.0,48.0,0.0
27410|single_family|na|2500-3000|4|3,27410,single_family,na,2500-3000,4,3,17,45.0,75.0,47.1,0.0
27106|single_family|na|3500-4000|4|3,27106,single_family,na,3500-4000,4,3,12,45.0,56.5,41.7,0.0
27263|single_family|na|1000-1500|3|1,27263,single_family,na,1000-1500,3,1,20,45.0,62.5,40.0,0.0
27455|townhome|na|1000-1500|3|2,27455,townhome,na,1000-1500,3,2,6,45.0,63.5,33.3,0.0
27101|single_family|na|500-1000|3|1,27101,single_family,na,500-1000,3,1,10,45.0,69.75,30.0,0.0
27403|single_family|na|2000-2500|3|2,27403,single_family,na,2000-2500,3,2,12,45.5,69.75,25.0,0.0
27410|single_family|na|3000-3500|4|2,27410,single_family,na,3000-3500,4,2,8,46.0,85.5,50.0,0.0
27107|land|na|na|na|na,27107,land,na,na,na,na,18,46.0,77.0,38.9,0.0
27106|single_family|na|2000-2500|3|2,27106,single_family,na,2000-2500,3,2,60,46.5,54.25,38.3,0.0
27127|land|na|na|na|na,27127,land,na,na,na,na,6,46.5,59.75,33.3,0.0
27401|single_family|na|1500-2000|3|2,27401,single_family,na,1500-2000,3,2,11,47.0,57.5,63.6,0.0
27401|single_family|na|500-1000|1|1,27401,single_family,na,500-1000,1,1,5,47.0,64.0,60.0,0.0
27405|single_family|na|1000-1500|3|2,27405,single_family,na,1000-1500,3,2,63,47.0,72.0,55.6,0.0
27405|single_family|na|500-1000|3|1,27405,single_family,na,500-1000,3,1,17,47.0,61.0,52.9,0.0
27406|single_family|na|1500-2000|3|2,27406,single_family,na,1500-2000,3,2,31,47.0,68.0,45.2,0.0
27410|townhome|na|1500-2000|3|2,27410,townhome,na,1500-2000,3,2,32,47.0,92.0,43.8,0.0
27406|single_family|na|2000-2500|4|2,27406,single_family,na,2000-2500,4,2,7,47.0,62.0,42.9,0.0
27263|single_family|na|1000-1500|3|2,27263,single_family,na,1000-1500,3,2,31,47.0,84.5,41.9,0.0
27260|multi_family|na|1500-2000|4|2,27260,multi_family,na,1500-2000,4,2,5,47.0,91.0,40.0,0.0
27262|single_family|na|1000-1500|2|2,27262,single_family,na,1000-1500,2,2,5,47.0,61.0,40.0,0.0
27262|single_family|na|1000-1500|3|1,27262,single_family,na,1000-1500,3,1,20,47.0,55.75,40.0,0.0
27409|townhome|na|1000-1500|3|2,27409,townhome,na,1000-1500,3,2,10,47.0,81.5,40.0,0.0
